filename,center_contrast,center_to_periphery_ratio,dynamic_range,global_contrast_std,periphery_contrast,warm_cool_range,warm_cool_std
rembrandt_met_437394.jpg,0.095752,1.731408,0.629125,0.070161,0.055303,0.290196,0.033669
rembrandt_met_437396.jpg,0.095737,0.993747,0.988958,0.097256,0.096339,0.298039,0.040777
rembrandt_met_437398.jpg,0.185975,1.912565,0.721042,0.140567,0.097238,0.324183,0.048274
rembrandt_rijks_200106038.jpg,0.139552,0.973433,0.712414,0.154688,0.143361,0.35817,0.044866
rembrandt_rijks_200106038.png,0.13953,0.97337,0.712064,0.154673,0.143348,0.355556,0.044758
rembrandt_rijks_200107928.jpg,0.159671,1.75889,0.929831,0.113236,0.090779,0.467974,0.06059
rembrandt_rijks_200107928.png,0.159724,1.759569,0.927026,0.113256,0.090774,0.449673,0.06078
rembrandt_rijks_200107929.jpg,0.136059,1.393832,0.920342,0.108719,0.097615,0.381699,0.06425
rembrandt_rijks_200107929.png,0.136389,1.397302,0.918942,0.108742,0.097609,0.381699,0.064309
rembrandt_rijks_200107930.jpg,0.182372,1.41525,0.867746,0.155837,0.128862,0.426144,0.056507
rembrandt_rijks_200107930.png,0.182361,1.415075,0.864658,0.155839,0.12887,0.418301,0.056522
rembrandt_rijks_200107931.jpg,0.123447,1.061606,0.768271,0.118621,0.116283,0.538562,0.090382
rembrandt_rijks_200107931.png,0.123475,1.061577,0.765734,0.118649,0.116313,0.541176,0.090337
rembrandt_rijks_200107934.jpg,0.142897,2.035632,0.94546,0.101151,0.070198,0.426144,0.067656
rembrandt_rijks_200107934.png,0.142935,2.035702,0.943206,0.101181,0.070214,0.426144,0.06764
rembrandt_rijks_200107935.jpg,0.173011,1.388699,0.777635,0.146338,0.124585,0.54902,0.090832
rembrandt_rijks_200107935.png,0.173127,1.388798,0.778469,0.146421,0.124659,0.554248,0.091301
rembrandt_rijks_200107936.jpg,0.206065,2.460878,0.680288,0.145285,0.083736,0.279739,0.042508
rembrandt_rijks_200107936.png,0.205963,2.456924,0.67106,0.145304,0.08383,0.282353,0.042536
rembrandt_rijks_200107941.jpg,0.145026,0.972915,0.801427,0.149506,0.149064,0.347712,0.049682
rembrandt_rijks_200107941.png,0.145014,0.972765,0.804232,0.149509,0.149074,0.352941,0.049624
rembrandt_rijks_200107942.jpg,0.224677,2.179408,0.711398,0.157914,0.103091,0.261438,0.039813
rembrandt_rijks_200107942.png,0.224473,2.176243,0.712231,0.157929,0.103147,0.27451,0.039835
rembrandt_rijks_200107944.jpg,0.167007,1.592384,0.85605,0.126869,0.104879,0.360784,0.04132
rembrandt_rijks_200107944.png,0.166998,1.592321,0.859689,0.126867,0.104877,0.355556,0.041296
rembrandt_rijks_200107945.jpg,0.155315,1.060475,0.766291,0.149037,0.146458,0.460131,0.083809
rembrandt_rijks_200107945.png,0.15536,1.060751,0.76574,0.14905,0.146463,0.462745,0.083849
rembrandt_rijks_200107952.jpg,0.07595,0.684072,0.80538,0.104359,0.111026,0.410458,0.04838
rembrandt_rijks_200107952.png,0.075935,0.683907,0.804264,0.104362,0.111031,0.410458,0.0485
rembrandt_rijks_200138946.jpg,0.164566,1.452425,0.847484,0.128062,0.113304,0.355556,0.046803
rembrandt_rijks_200138946.png,0.164619,1.452142,0.847484,0.128118,0.113363,0.35817,0.046833
rembrandt_rijks_20022176.jpg,0.107919,1.154395,0.576415,0.097347,0.093485,0.311111,0.042892
rembrandt_rijks_20022176.png,0.107983,1.154793,0.583141,0.097381,0.093508,0.305882,0.043018
rembrandt_rijks_20026156.jpg,0.142801,1.807274,0.869928,0.100329,0.079014,0.397386,0.053088
rembrandt_rijks_20026156.png,0.142734,1.80557,0.877503,0.100325,0.079052,0.394771,0.053117
rembrandt_rijks_20026162.jpg,0.117868,1.220161,0.694806,0.108321,0.0966,0.271895,0.041021
rembrandt_rijks_20026162.png,0.117861,1.219861,0.695361,0.108316,0.096618,0.271895,0.041024
rembrandt_rijks_200639587.jpg,0.137286,0.849757,0.853136,0.159437,0.161559,0.352941,0.043685
rembrandt_rijks_200639587.png,0.135627,0.838086,0.873294,0.159444,0.161829,0.352941,0.043675
rembrandt_rijks_200642954.jpg,0.205699,1.683087,0.940202,0.14786,0.122215,0.35817,0.03911
rembrandt_rijks_200642954.png,0.205445,1.681222,0.925632,0.147884,0.1222,0.350327,0.03914
