filename,crossing_index,dominant_orientation_strength,hatching_type,orientation_entropy,orientation_entropy_normalized,orientation_response_profile_0,orientation_response_profile_1,orientation_response_profile_10,orientation_response_profile_11,orientation_response_profile_2,orientation_response_profile_3,orientation_response_profile_4,orientation_response_profile_5,orientation_response_profile_6,orientation_response_profile_7,orientation_response_profile_8,orientation_response_profile_9,parallelism_index
rembrandt_met_437394.jpg,0.957501,0.15907,crossing_harmonious,3.466446,0.966941,1e-05,6e-06,7e-06,1.1e-05,4e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,5e-06,0.417784
rembrandt_met_437396.jpg,0.49265,0.364021,parallel_harmonious,2.683388,0.748512,5.7e-05,3.1e-05,8e-06,3.1e-05,8e-06,4e-06,1.9e-05,0.000116,0.000235,0.000116,1.8e-05,3e-06,0.722555
rembrandt_met_437398.jpg,0.609813,0.19298,parallel_disharmonious_or_crossing_spontaneous,3.433186,0.957663,2.1e-05,1.6e-05,1.4e-05,1.8e-05,1.1e-05,9e-06,1.1e-05,2.5e-05,4.1e-05,2.3e-05,1.1e-05,1.1e-05,0.418207
rembrandt_rijks_200106038.jpg,0.804999,0.156986,crossing_harmonious,3.482317,0.971368,7e-06,7e-06,6e-06,6e-06,8e-06,8e-06,1e-05,1.3e-05,1.7e-05,1.4e-05,9e-06,5e-06,0.403204
rembrandt_rijks_200106038.png,0.80561,0.156907,crossing_harmonious,3.482574,0.971439,7e-06,7e-06,6e-06,6e-06,8e-06,8e-06,1e-05,1.3e-05,1.7e-05,1.4e-05,9e-06,5e-06,0.403049
rembrandt_rijks_200107928.jpg,0.951832,0.104495,crossing_harmonious,3.563859,0.994113,3.5e-05,2.9e-05,2.2e-05,2.9e-05,2.7e-05,3.1e-05,3.5e-05,3.7e-05,3.4e-05,2.7e-05,2.3e-05,2.1e-05,0.299776
rembrandt_rijks_200107928.png,0.954962,0.104391,crossing_harmonious,3.563795,0.994096,3.5e-05,2.9e-05,2.2e-05,2.9e-05,2.7e-05,3.1e-05,3.5e-05,3.6e-05,3.3e-05,2.7e-05,2.3e-05,2.1e-05,0.299347
rembrandt_rijks_200107929.jpg,0.896068,0.145988,crossing_harmonious,3.505418,0.977812,2.3e-05,2.5e-05,1.9e-05,1.9e-05,2.4e-05,2.5e-05,3.3e-05,4.6e-05,5.1e-05,3.8e-05,2.7e-05,2.2e-05,0.38435
rembrandt_rijks_200107929.png,0.896134,0.145557,crossing_harmonious,3.506479,0.978108,2.3e-05,2.5e-05,1.9e-05,1.9e-05,2.4e-05,2.5e-05,3.3e-05,4.6e-05,5.1e-05,3.8e-05,2.7e-05,2.2e-05,0.383413
rembrandt_rijks_200107930.jpg,0.915905,0.101593,crossing_harmonious,3.577908,0.998032,9e-06,1e-05,9e-06,9e-06,1.1e-05,1e-05,9e-06,9e-06,1e-05,8e-06,8e-06,8e-06,0.281244
rembrandt_rijks_200107930.png,0.916373,0.101555,crossing_harmonious,3.577915,0.998034,9e-06,1e-05,9e-06,9e-06,1.1e-05,1e-05,9e-06,9e-06,1e-05,8e-06,8e-06,8e-06,0.281171
rembrandt_rijks_200107931.jpg,0.87651,0.128431,crossing_harmonious,3.541345,0.987833,1.7e-05,1.4e-05,1.3e-05,1.5e-05,1e-05,1.1e-05,1.4e-05,2e-05,2.3e-05,1.7e-05,1.2e-05,1.1e-05,0.338687
rembrandt_rijks_200107931.png,0.876477,0.128423,crossing_harmonious,3.541412,0.987852,1.7e-05,1.4e-05,1.3e-05,1.5e-05,1e-05,1.1e-05,1.4e-05,2e-05,2.3e-05,1.7e-05,1.2e-05,1.1e-05,0.33864
rembrandt_rijks_200107934.jpg,0.707142,0.142625,crossing_harmonious,3.540833,0.98769,2.4e-05,1.7e-05,1e-05,1.6e-05,1.3e-05,1.3e-05,1.2e-05,1.4e-05,1.6e-05,1.3e-05,1.2e-05,1e-05,0.337349
rembrandt_rijks_200107934.png,0.711112,0.140152,crossing_harmonious,3.542922,0.988273,2.4e-05,1.7e-05,1e-05,1.6e-05,1.3e-05,1.3e-05,1.2e-05,1.4e-05,1.6e-05,1.3e-05,1.2e-05,1e-05,0.332592
rembrandt_rijks_200107935.jpg,0.901716,0.121581,crossing_harmonious,3.55748,0.992334,8.5e-05,7.7e-05,4.6e-05,6.3e-05,6.2e-05,5.4e-05,5.2e-05,5.5e-05,5.9e-05,5.4e-05,4.8e-05,4.4e-05,0.321601
rembrandt_rijks_200107935.png,0.901833,0.12154,crossing_harmonious,3.557551,0.992354,8.5e-05,7.7e-05,4.6e-05,6.3e-05,6.2e-05,5.4e-05,5.2e-05,5.5e-05,5.9e-05,5.5e-05,4.8e-05,4.4e-05,0.321514
rembrandt_rijks_200107936.jpg,0.86231,0.146879,crossing_harmonious,3.514244,0.980274,6e-06,6e-06,8e-06,7e-06,8e-06,1.1e-05,1.6e-05,1.4e-05,1e-05,8e-06,7e-06,7e-06,0.377912
rembrandt_rijks_200107936.png,0.863921,0.147044,crossing_harmonious,3.513457,0.980054,6e-06,6e-06,8e-06,7e-06,8e-06,1.1e-05,1.6e-05,1.4e-05,1e-05,8e-06,7e-06,7e-06,0.378461
rembrandt_rijks_200107941.jpg,0.55098,0.269025,parallel_harmonious,3.210061,0.895424,1.1e-05,8e-06,9e-06,9e-06,6e-06,4e-06,7e-06,2.4e-05,4.4e-05,2.4e-05,9e-06,9e-06,0.564235
rembrandt_rijks_200107941.png,0.550933,0.269195,parallel_harmonious,3.209457,0.895256,1.1e-05,8e-06,9e-06,9e-06,6e-06,4e-06,7e-06,2.4e-05,4.4e-05,2.4e-05,9e-06,9e-06,0.564549
rembrandt_rijks_200107942.jpg,0.958886,0.123091,crossing_harmonious,3.520949,0.982144,1.9e-05,2.1e-05,1.1e-05,1.5e-05,2.2e-05,2e-05,1.6e-05,1.3e-05,1.3e-05,1.1e-05,9e-06,9e-06,0.3522
rembrandt_rijks_200107942.png,0.961315,0.123124,crossing_harmonious,3.520674,0.982067,1.9e-05,2.1e-05,1.1e-05,1.5e-05,2.2e-05,2e-05,1.6e-05,1.3e-05,1.2e-05,1.1e-05,9e-06,9e-06,0.352342
rembrandt_rijks_200107944.jpg,0.530191,0.374543,parallel_harmonious,2.642119,0.737001,0.000173,9.2e-05,1.6e-05,8.9e-05,2e-05,6e-06,6e-06,1.2e-05,2.2e-05,1.5e-05,8e-06,5e-06,0.765509
rembrandt_rijks_200107944.png,0.530166,0.37453,parallel_harmonious,2.642216,0.737027,0.000173,9.2e-05,1.6e-05,8.9e-05,2e-05,6e-06,6e-06,1.2e-05,2.2e-05,1.5e-05,8e-06,5e-06,0.765476
rembrandt_rijks_200107945.jpg,0.90375,0.151605,crossing_harmonious,3.493083,0.974371,9.4e-05,8.5e-05,4.6e-05,6.8e-05,5.8e-05,3.9e-05,3.5e-05,3.6e-05,3.6e-05,3.9e-05,4.3e-05,4.1e-05,0.398542
rembrandt_rijks_200107945.png,0.903985,0.151657,crossing_harmonious,3.492941,0.974331,9.4e-05,8.5e-05,4.6e-05,6.8e-05,5.8e-05,3.9e-05,3.5e-05,3.6e-05,3.6e-05,3.9e-05,4.3e-05,4.1e-05,0.398662
rembrandt_rijks_200107952.jpg,0.995283,0.135581,crossing_harmonious,3.449534,0.962223,9e-06,7e-06,4e-06,7e-06,5e-06,8e-06,1.2e-05,1.2e-05,1.2e-05,8e-06,4e-06,3e-06,0.362788
rembrandt_rijks_200107952.png,0.994625,0.136162,crossing_harmonious,3.448626,0.96197,9e-06,6e-06,4e-06,7e-06,5e-06,8e-06,1.2e-05,1.2e-05,1.2e-05,8e-06,4e-06,3e-06,0.364151
rembrandt_rijks_200138946.jpg,0.981921,0.131911,crossing_harmonious,3.491839,0.974024,2.4e-05,1.8e-05,1.1e-05,1.6e-05,1.1e-05,8e-06,9e-06,1.5e-05,2.3e-05,2.2e-05,1.4e-05,9e-06,0.322652
rembrandt_rijks_200138946.png,0.98142,0.131929,crossing_harmonious,3.491791,0.974011,2.4e-05,1.8e-05,1.1e-05,1.6e-05,1.1e-05,8e-06,9e-06,1.5e-05,2.3e-05,2.2e-05,1.4e-05,1e-05,0.322672
rembrandt_rijks_20022176.jpg,0.930901,0.112983,crossing_harmonious,3.561708,0.993513,1.4e-05,1.3e-05,1e-05,1.3e-05,1.2e-05,1.1e-05,9e-06,8e-06,9e-06,1e-05,9e-06,8e-06,0.31721
rembrandt_rijks_20022176.png,0.92916,0.113031,crossing_harmonious,3.561794,0.993537,1.4e-05,1.3e-05,1e-05,1.3e-05,1.2e-05,1.1e-05,9e-06,8e-06,9e-06,1e-05,9e-06,8e-06,0.317245
rembrandt_rijks_20026156.jpg,0.881073,0.131327,crossing_harmonious,3.538229,0.986964,8e-06,1e-05,5e-06,6e-06,1.2e-05,9e-06,6e-06,6e-06,8e-06,8e-06,6e-06,5e-06,0.346269
