filename,texture_energy_scale_1,texture_energy_scale_2,texture_energy_scale_4,texture_energy_scale_8,texture_range,texture_variance_scale_1,texture_variance_scale_2,texture_variance_scale_4,texture_variance_scale_8,texture_variety
rembrandt_met_437394.jpg,0.000421,8.3e-05,3.3e-05,1.4e-05,0.004304,0.000316,6.2e-05,2.4e-05,9e-06,0.000775
rembrandt_met_437396.jpg,0.002806,0.000608,0.000126,2.2e-05,0.010677,0.002455,0.000495,9.1e-05,1.3e-05,0.002655
rembrandt_met_437398.jpg,0.00148,0.000225,8.5e-05,3.5e-05,0.005764,0.001024,0.000142,5.1e-05,2e-05,0.001267
rembrandt_rijks_200106038.jpg,0.000869,0.000156,7.5e-05,3.6e-05,0.006032,0.000464,8.7e-05,4e-05,1.8e-05,0.001188
rembrandt_rijks_200106038.png,0.000868,0.000156,7.5e-05,3.6e-05,0.006033,0.000464,8.7e-05,4e-05,1.8e-05,0.001188
rembrandt_rijks_200107928.jpg,0.002014,0.000437,0.000158,4.7e-05,0.011345,0.001491,0.000308,0.000105,2.8e-05,0.002633
rembrandt_rijks_200107928.png,0.002012,0.000436,0.000158,4.7e-05,0.011397,0.001488,0.000307,0.000105,2.8e-05,0.00263
rembrandt_rijks_200107929.jpg,0.001834,0.000444,0.000178,5.8e-05,0.015081,0.001319,0.000314,0.000117,3.2e-05,0.002832
rembrandt_rijks_200107929.png,0.001835,0.000444,0.000178,5.8e-05,0.015506,0.001319,0.000314,0.000117,3.2e-05,0.002859
rembrandt_rijks_200107930.jpg,0.000837,0.000209,0.000106,4.7e-05,0.007108,0.00055,0.000139,6.9e-05,2.9e-05,0.001261
rembrandt_rijks_200107930.png,0.000837,0.000209,0.000106,4.7e-05,0.007104,0.00055,0.000139,6.9e-05,2.9e-05,0.00126
rembrandt_rijks_200107931.jpg,0.00142,0.00024,0.000101,3.8e-05,0.007443,0.000902,0.000147,5.7e-05,1.9e-05,0.001519
rembrandt_rijks_200107931.png,0.001421,0.00024,0.000101,3.8e-05,0.007451,0.000902,0.000147,5.7e-05,1.9e-05,0.00152
rembrandt_rijks_200107934.jpg,0.002248,0.000222,9.1e-05,3.7e-05,0.01214,0.001587,0.000132,5.3e-05,2e-05,0.00225
rembrandt_rijks_200107934.png,0.00225,0.000222,9.1e-05,3.7e-05,0.012551,0.00159,0.000132,5.3e-05,2e-05,0.002271
rembrandt_rijks_200107935.jpg,0.004397,0.000776,0.000266,7.7e-05,0.015842,0.002699,0.000416,0.000124,3.1e-05,0.003718
rembrandt_rijks_200107935.png,0.004403,0.000777,0.000266,7.7e-05,0.015888,0.002705,0.000417,0.000124,3.1e-05,0.003727
rembrandt_rijks_200107936.jpg,0.000656,0.000203,0.000106,5.2e-05,0.003786,0.000489,0.000158,8e-05,3.6e-05,0.000933
rembrandt_rijks_200107936.png,0.000657,0.000203,0.000106,5.2e-05,0.003769,0.00049,0.000159,8e-05,3.6e-05,0.000938
rembrandt_rijks_200107941.jpg,0.001162,0.000223,0.000101,5e-05,0.008057,0.000777,0.000161,6.6e-05,2.8e-05,0.0012
rembrandt_rijks_200107941.png,0.001161,0.000223,0.000101,5e-05,0.008057,0.000778,0.000161,6.6e-05,2.8e-05,0.0012
rembrandt_rijks_200107942.jpg,0.001091,0.000262,0.000127,6.4e-05,0.00483,0.000842,0.000194,9e-05,4.2e-05,0.001495
rembrandt_rijks_200107942.png,0.00109,0.000262,0.000127,6.4e-05,0.004815,0.000842,0.000194,8.9e-05,4.2e-05,0.001491
rembrandt_rijks_200107944.jpg,0.002339,0.000538,0.000182,4.9e-05,0.015944,0.001763,0.00038,0.000123,3e-05,0.003154
rembrandt_rijks_200107944.png,0.002338,0.000538,0.000182,4.9e-05,0.015936,0.001763,0.00038,0.000123,3e-05,0.003153
rembrandt_rijks_200107945.jpg,0.00322,0.000681,0.000233,7e-05,0.008413,0.001952,0.000361,0.000108,2.7e-05,0.002393
rembrandt_rijks_200107945.png,0.003223,0.000681,0.000233,7e-05,0.008446,0.001952,0.000361,0.000108,2.7e-05,0.002394
rembrandt_rijks_200107952.jpg,0.000543,0.00011,4.5e-05,2e-05,0.007789,0.000418,8.5e-05,3.3e-05,1.4e-05,0.001405
rembrandt_rijks_200107952.png,0.000542,0.00011,4.5e-05,2e-05,0.007807,0.000418,8.5e-05,3.3e-05,1.4e-05,0.001407
rembrandt_rijks_200138946.jpg,0.001382,0.000274,0.000128,5.2e-05,0.010346,0.001133,0.000215,9.4e-05,3.4e-05,0.001634
rembrandt_rijks_200138946.png,0.001384,0.000275,0.000128,5.2e-05,0.010358,0.001136,0.000215,9.4e-05,3.4e-05,0.001635
rembrandt_rijks_20022176.jpg,0.000802,0.000159,6.6e-05,2.6e-05,0.005768,0.000532,0.000107,4.3e-05,1.5e-05,0.001172
rembrandt_rijks_20022176.png,0.0008,0.000159,6.6e-05,2.6e-05,0.005733,0.000532,0.000107,4.3e-05,1.5e-05,0.001169
rembrandt_rijks_20026156.jpg,0.000661,0.000159,8.3e-05,4e-05,0.008642,0.000495,0.000124,6.3e-05,2.9e-05,0.001441
rembrandt_rijks_20026156.png,0.00066,0.000159,8.3e-05,4e-05,0.008658,0.000495,0.000123,6.3e-05,2.9e-05,0.001442
rembrandt_rijks_20026162.jpg,0.001369,0.000278,0.000114,4.2e-05,0.004732,0.000751,0.000149,5.6e-05,1.8e-05,0.001268
rembrandt_rijks_20026162.png,0.00137,0.000278,0.000114,4.2e-05,0.004702,0.000751,0.000149,5.6e-05,1.8e-05,0.001266
rembrandt_rijks_200639587.jpg,0.001775,0.000443,0.000208,7.9e-05,0.013959,0.001445,0.000344,0.00015,5.1e-05,0.003086
rembrandt_rijks_200639587.png,0.001773,0.000443,0.000208,7.9e-05,0.013752,0.001444,0.000344,0.00015,5.1e-05,0.003089
rembrandt_rijks_200642954.jpg,0.002737,0.000595,0.000226,8.2e-05,0.01689,0.002394,0.000491,0.000174,5.8e-05,0.003706
rembrandt_rijks_200642954.png,0.002738,0.000595,0.000226,8.2e-05,0.0171,0.002395,0.000491,0.000174,5.8e-05,0.003706
